Region,Brott,År,Period,Antal
Botkyrka kommun,7 kap. Brott mot familj,2023 prel.,Dec,0
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Jan,34
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Feb,47
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Mar,21
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Apr,33
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Maj,36
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Jun,41
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Jul,35
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Aug,45
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Sep,39
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Okt,50
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Nov,54
Danderyd kommun,3-7 kap. Brott mot person,2023 prel.,Dec,47
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jan,7
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Feb,11
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Mar,5
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Apr,9
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Maj,10
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jun,11
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jul,9
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Aug,11
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Sep,13
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Okt,16
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Nov,15
Danderyd kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Dec,16
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Jan,7
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Feb,10
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Mar,4
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Apr,9
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Maj,9
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Jun,10
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Jul,9
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Aug,9
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Sep,12
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Okt,12
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Nov,13
Danderyd kommun,därav misshandel inkl. grov,2023 prel.,Dec,15
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jan,26
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Feb,31
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Mar,12
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Apr,21
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Maj,20
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jun,25
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jul,21
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Aug,28
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Sep,19
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Okt,28
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Nov,35
Danderyd kommun,4 kap. Brott mot frihet och frid,2023 prel.,Dec,30
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jan,0
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Feb,1
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Mar,0
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Apr,3
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Maj,5
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jun,1
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jul,0
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Aug,1
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Sep,2
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Okt,1
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Nov,1
Danderyd kommun,5 kap. Ärekränkningsbrott,2023 prel.,Dec,0
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Jan,1
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Feb,4
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Mar,4
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Apr,0
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Maj,1
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Jun,4
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Jul,5
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Aug,5
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Sep,5
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Okt,5
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Nov,3
Danderyd kommun,6 kap. Sexualbrott,2023 prel.,Dec,1
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Jan,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Feb,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Mar,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Apr,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Maj,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Jun,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Jul,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Aug,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Sep,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Okt,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Nov,0
Danderyd kommun,7 kap. Brott mot familj,2023 prel.,Dec,0
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Jan,195
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Feb,182
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Mar,271
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Apr,274
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Maj,273
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Jun,191
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Jul,190
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Aug,212
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Sep,223
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Okt,276
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Nov,223
Haninge kommun,3-7 kap. Brott mot person,2023 prel.,Dec,212
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jan,68
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Feb,76
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Mar,87
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Apr,93
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Maj,116
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jun,68
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jul,74
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Aug,77
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Sep,96
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Okt,124
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Nov,80
Haninge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Dec,73
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Jan,62
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Feb,71
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Mar,84
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Apr,91
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Maj,102
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Jun,63
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Jul,61
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Aug,70
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Sep,84
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Okt,111
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Nov,77
Haninge kommun,därav misshandel inkl. grov,2023 prel.,Dec,68
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jan,114
