Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jan;95;100;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Feb;101;106;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Mar;105;110;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Apr;124;130;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Maj;132;138;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jun;123;129;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jul;106;111;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Aug;126;132;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Sep;124;130;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Okt;139;146;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Nov;138;145;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2023 prel.;Dec;133;139;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jan;3;3;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Feb;3;3;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Mar;5;5;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Apr;5;5;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Maj;2;2;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jun;7;7;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jul;6;6;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Aug;8;8;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Sep;2;2;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Okt;11;12;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Nov;5;5;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2023 prel.;Dec;8;8;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Jan;21;22;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Feb;8;8;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Mar;11;12;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Apr;11;12;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Maj;22;23;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Jun;11;12;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Jul;4;4;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Aug;5;5;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Sep;11;12;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Okt;14;15;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Nov;4;4;
Botkyrka kommun;6 kap. Sexualbrott;2023 prel.;Dec;6;6;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Jan;1;1;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Feb;0;0;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Mar;1;1;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Apr;1;1;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Maj;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Jun;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Jul;0;0;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Aug;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Sep;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Okt;0;0;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Nov;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2023 prel.;Dec;0;0;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
