Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jan;118;125;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Feb;97;102;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Mar;87;92;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Apr;105;111;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Maj;106;112;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jun;125;132;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jul;99;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Aug;59;62;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Sep;106;112;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Okt;99;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Nov;92;97;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Dec;87;92;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jan;118;125;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Feb;97;102;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Mar;87;92;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Apr;105;111;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Maj;106;112;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jun;125;132;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Jul;99;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Aug;59;62;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Sep;106;112;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Okt;99;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Nov;92;97;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2020;Dec;87;92;
Botkyrka kommun;därav misshandel inkl. grov;2020;Jan;109;115;
Botkyrka kommun;därav misshandel inkl. grov;2020;Feb;94;99;
Botkyrka kommun;därav misshandel inkl. grov;2020;Mar;84;89;
Botkyrka kommun;därav misshandel inkl. grov;2020;Apr;99;105;
Botkyrka kommun;därav misshandel inkl. grov;2020;Maj;100;106;
Botkyrka kommun;därav misshandel inkl. grov;2020;Jun;119;126;
Botkyrka kommun;därav misshandel inkl. grov;2020;Jul;91;96;
Botkyrka kommun;därav misshandel inkl. grov;2020;Aug;57;60;
Botkyrka kommun;därav misshandel inkl. grov;2020;Sep;97;102;
Botkyrka kommun;därav misshandel inkl. grov;2020;Okt;98;103;
Botkyrka kommun;därav misshandel inkl. grov;2020;Nov;89;94;
Botkyrka kommun;därav misshandel inkl. grov;2020;Dec;83;88;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Jan;141;149;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Feb;116;122;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Mar;120;127;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Apr;126;133;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Maj;102;108;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Jun;139;147;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Jul;121;128;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Aug;92;97;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Sep;107;113;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Okt;120;127;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Nov;92;97;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2020;Dec;122;129;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Jan;9;10;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Feb;7;7;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Mar;10;11;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Apr;5;5;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Maj;7;7;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Jun;3;3;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Jul;14;15;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Aug;9;10;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Sep;10;11;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Okt;7;7;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Nov;4;4;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2020;Dec;6;6;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jul;255;269;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Aug;180;190;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Sep;239;252;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Okt;260;274;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Nov;203;214;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Dec;226;239;
Botkyrka kommun;6 kap. Sexualbrott;2020;Jan;16;17;
Botkyrka kommun;6 kap. Sexualbrott;2020;Feb;35;37;
Botkyrka kommun;6 kap. Sexualbrott;2020;Mar;14;15;
Botkyrka kommun;6 kap. Sexualbrott;2020;Apr;9;10;
Botkyrka kommun;6 kap. Sexualbrott;2020;Maj;5;5;
Botkyrka kommun;6 kap. Sexualbrott;2020;Jun;12;13;
Botkyrka kommun;6 kap. Sexualbrott;2020;Jul;18;19;
Botkyrka kommun;6 kap. Sexualbrott;2020;Aug;20;21;
Botkyrka kommun;6 kap. Sexualbrott;2020;Sep;16;17;
Botkyrka kommun;6 kap. Sexualbrott;2020;Okt;33;35;
Botkyrka kommun;6 kap. Sexualbrott;2020;Nov;15;16;
Botkyrka kommun;6 kap. Sexualbrott;2020;Dec;11;12;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jan;287;303;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Feb;256;270;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Mar;232;245;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Apr;245;259;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Maj;222;234;
Botkyrka kommun;3-7 kap. Brott mot person;2020;Jun;281;297;
