Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jan;95;100;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Feb;101;106;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Mar;82;86;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Apr;87;91;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Maj;100;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jun;93;98;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jul;79;83;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Aug;77;81;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Sep;77;81;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Okt;103;108;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Nov;94;99;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Dec;85;89;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jan;95;100;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Feb;101;106;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Mar;82;86;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Apr;87;91;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Maj;100;105;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jun;93;98;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Jul;79;83;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Aug;77;81;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Sep;77;81;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Okt;103;108;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Nov;94;99;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2021;Dec;85;89;
Botkyrka kommun;därav misshandel inkl. grov;2021;Jan;86;90;
Botkyrka kommun;därav misshandel inkl. grov;2021;Feb;100;105;
Botkyrka kommun;därav misshandel inkl. grov;2021;Mar;77;81;
Botkyrka kommun;därav misshandel inkl. grov;2021;Apr;83;87;
Botkyrka kommun;därav misshandel inkl. grov;2021;Maj;96;101;
Botkyrka kommun;därav misshandel inkl. grov;2021;Jun;89;94;
Botkyrka kommun;därav misshandel inkl. grov;2021;Jul;76;80;
Botkyrka kommun;därav misshandel inkl. grov;2021;Aug;73;77;
Botkyrka kommun;därav misshandel inkl. grov;2021;Sep;67;70;
Botkyrka kommun;därav misshandel inkl. grov;2021;Okt;98;103;
Botkyrka kommun;därav misshandel inkl. grov;2021;Nov;90;95;
Botkyrka kommun;därav misshandel inkl. grov;2021;Dec;84;88;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Jan;122;128;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Feb;112;118;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Mar;98;103;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Apr;120;126;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Maj;130;137;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Jun;109;115;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Jul;124;130;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Aug;107;113;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Sep;127;134;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Okt;145;152;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Nov;111;117;
Botkyrka kommun;4 kap. Brott mot frihet och frid;2021;Dec;116;122;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Jan;6;6;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Feb;8;8;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Mar;10;11;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Apr;5;5;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Maj;11;12;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Jun;7;7;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Jul;3;3;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Aug;11;12;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Sep;6;6;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Okt;4;4;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Nov;4;4;
Botkyrka kommun;5 kap. Ärekränkningsbrott;2021;Dec;7;7;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jan;241;253;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Feb;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Mar;196;206;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Apr;242;255;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Maj;254;267;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jun;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Jul;215;226;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Aug;208;219;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Sep;226;238;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Okt;268;282;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Nov;228;240;
Botkyrka kommun;3-7 kap. Brott mot person;2021;Dec;215;226;
Botkyrka kommun;6 kap. Sexualbrott;2021;Jan;16;17;
Botkyrka kommun;6 kap. Sexualbrott;2021;Feb;16;17;
Botkyrka kommun;6 kap. Sexualbrott;2021;Mar;4;4;
Botkyrka kommun;6 kap. Sexualbrott;2021;Apr;28;29;
Botkyrka kommun;6 kap. Sexualbrott;2021;Maj;12;13;
Botkyrka kommun;6 kap. Sexualbrott;2021;Jun;17;18;
Botkyrka kommun;6 kap. Sexualbrott;2021;Jul;7;7;
Botkyrka kommun;6 kap. Sexualbrott;2021;Aug;13;14;
Botkyrka kommun;6 kap. Sexualbrott;2021;Sep;16;17;
Botkyrka kommun;6 kap. Sexualbrott;2021;Okt;12;13;
